title,year,artist,location,price,link
Women in the garden,1866,,,,
"Impression, sunrise",1872,,,,
Autumn on the Seine at Argenteuil,1873,,,,
Camille Monet and a Child in the Artist’s Garden in Argenteuil,1875,,,,
Haystacks at Giverny,1884,,,,
Haystack at Giverny,1886,,,,
Poplars at Giverny,1887,,,,
Antibes in the Morning,1888,,,,
Three Trees in Grey Weather,1891,,,,
"Water Lilies, Evening Effect",1897-1899,,,,
Irises in Monet's Garden,1900,,,,
"Waterloo Bridge, London",1903,,,,
Houses of Parliament,1904,,,,
Water Lily Pond,1917,,,,
Water Lilies,1917-1919,,,,
Claude Monet's Wisteria Bridge at Giverny France,,Dai Wynn,Australia,$510,https://www.saatchiart.com/art/Painting-Claude-Monet-S-Wisteria-Bridge-At-Giverny-France/5770/1660932/view
Water Lily Pond,,Claire Donachie,New Zealand,"$2,400",https://www.saatchiart.com/art/Painting-Water-Lily-Pond/1717953/12096527/view
LE PONT JAPONAISE DE CLAUDE MONET,,Dulcie Dee,United States,$495,https://www.saatchiart.com/art/Drawing-Le-Pont-Japonaise-De-Claude-Monet/19954/4292328/view
